rut;exitosos;fallidos;envios;final;estado;e0;e1;e2;e3;e4;e6;e7;e8;e9;e10;e11;e12;e13;e17;e18;e21;e22;e23;e25;e26;e28;e29;e31;e32;e33;e35;e37;e38;e42;e44;e48
5;0;0;0;1;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;1;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;1;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;0;0;0;1;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;0;0;0;1;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;0;15;15;1;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;1;23;24;2;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
166;0;0;0;2;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;15;24;39;4;A;1;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;0;0;1;0;0;1;1;0
173;0;31;31;4;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;14;17;31;4;A;1;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0
251;15;16;31;4;A;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0
336;20;11;31;4;A;1;1;0;1;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;1;1;0;1;1;0
400;18;21;39;4;A;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0
403;19;12;31;4;A;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0
434;5;11;16;4;A;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
459;4;27;31;4;A;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
46;26;13;39;5;A;1;0;0;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;0;1;1;0
57;0;0;0;5;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;0;0;0;5;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;19;12;31;5;A;1;1;0;1;1;1;1;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0
110;15;16;31;5;A;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;1;1;1;0
151;0;16;16;5;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
172;15;16;31;5;A;0;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0
176;7;24;31;5;A;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
202;13;18;31;5;A;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1;0
207;15;16;31;5;A;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;1;1;0
216;17;14;31;5;A;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0
219;14;17;31;5;A;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;1;0;1;0;0;0;1;1;1;0
224;16;15;31;5;A;1;1;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;1;0;1;0;1;0;1;1;1;0
288;23;16;39;5;A;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0
292;18;21;39;5;A;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;1;0;1;0;0
294;10;21;31;5;A;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0
300;7;32;39;5;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
301;22;17;39;5;A;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;1;1;0
333;15;16;31;5;A;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;1;1;0
339;16;23;39;5;A;1;1;0;1;1;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;0
366;10;21;31;5;A;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;0
367;9;30;39;5;A;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0
371;14;17;31;5;A;1;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0
380;15;16;31;5;A;1;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;0;1;0;0
392;18;13;31;5;A;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0
412;22;17;39;5;A;1;1;0;0;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;0;0;1;1;1;0
437;21;18;39;5;A;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;0;0
59;15;24;39;6;A;0;1;0;1;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;0;0;0;1;0;0;1;0
88;16;15;31;6;A;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;1;0
109;22;17;39;6;A;1;0;0;1;1;0;1;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;0;1;0;0
182;24;15;39;6;A;1;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0
192;14;17;31;6;A;0;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;0;0;1;1;1;0
255;16;15;31;6;A;1;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0
257;24;23;47;6;A;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0
317;16;15;31;6;A;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;1;0;1;1;1;0
355;12;27;39;6;A;0;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;0;0
357;3;13;16;6;A;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
361;25;14;39;6;A;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0
382;16;15;31;6;A;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0
383;26;5;31;6;A;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
391;15;24;39;6;A;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0
396;20;11;31;6;A;1;1;0;1;1;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;0
436;15;16;31;6;A;0;1;0;1;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0
21;15;32;47;7;A;1;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0
70;32;15;47;7;A;1;1;0;1;1;1;1;0;0;1;0;0;0;1;0;0;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0
161;17;22;39;7;A;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;1;1;0
389;16;23;39;7;A;1;0;0;1;1;0;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;1;0;0
406;17;14;31;7;A;1;1;0;1;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0
466;18;13;31;7;A;1;1;0;1;1;1;0;0;0;1;0;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0
212;0;0;0;1.1;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;12;12;24;1.4;R;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0
274;0;0;0;1.4;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
439;0;0;0;1.4;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;0;16;16;1.5;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
260;1;15;16;1.5;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
