rut;hito1;hito2;hito3;hito4;exitosos;fallidos;envios;e1;e2;e3;e4;programa;sol1;sol2;sol3;sol4;tarea1;tarea2;controles;np;examen;final;estado
5;0;0;0;0;0;0;0;;;;;INGENIERIA EN COMPUTACION E INFORMATICA;1;1;1;1;1;1;1;1;1;1;R
7;0;0;0;0;0;0;0;;;;;INGENIERIA CIVIL INDUSTRIAL;1;1;1;1;1;1;1;1;1;1;R
16;0;0;0;0;0;0;0;;;;;INGENIERIA INDUSTRIAL;1;1;1;1;1;1;1;1;1;1;R
44;0;0;0;0;0;0;0;;;;;INGENIERIA CIVIL INDUSTRIAL;1;1;1;1;1;1;1;1;1;1;R
103;0;0;0;0;0;0;0;;;;;INGENIERIA EN COMPUTACION E INFORMATICA;1;1;1;1;1;1;1;1;1;1;R
122;0;0;0;0;0;15;15;;;;;INGENIERIA EN COMPUTACION E INFORMATICA;1;1;1;1;1;1;1;1;1;1;R
212;0;0;0;0;0;0;0;;;;;INGENIERIA CIVIL INFORMATICA;1;1;1;1;1.4;1;1.6;1.12;1;1.1;R
12;9;0;0;0;12;12;24;:25:17:4:26:29:22;;;;INGENIERIA CIVIL INDUSTRIAL;5.2;1;1;1;1;1;1;1.52;1;1.4;R
274;0;0;0;0;0;0;0;;;;;INGENIERIA EN COMPUTACION E INFORMATICA;3.6;2.2;1;2.3;1;1;1;1.63;1;1.4;R
439;0;0;0;0;0;0;0;;;;;INGENIERIA INDUSTRIAL;5;1;1;1;1;1;1;1.5;1;1.4;R
148;0;0;0;0;0;16;16;;;;;INGENIERIA INDUSTRIAL;4.6;1;1;2.2;1;1;1.6;1.66;1;1.5;R
260;1;0;0;0;1;15;16;:25;;;;INGENIERIA CIVIL INFORMATICA;3.6;1.9;1;1.9;1;1;1.6;1.61;1.4;1.5;R
131;3;0;0;0;3;36;39;:25:17:4;;;;INGENIERIA EN COMPUTACION E INFORMATICA;4.4;1;1;4.4;1;1;1;1.85;1;1.6;R
356;0;0;0;0;0;0;0;;;;;INGENIERIA EN COMPUTACION E INFORMATICA;4;2;2.5;2.8;1;1;1;1.91;1;1.6;R
446;0;0;0;0;7;32;39;;;;;INGENIERIA EN COMPUTACION E INFORMATICA;4.2;1;1;4.2;1;1;1;1.8;1;1.6;R
196;3;0;0;0;3;13;16;:25:17:4;;;;INGENIERIA CIVIL INFORMATICA;4.6;4.7;1;3.4;1;1;1.9;2.3;1;1.9;R
278;0;0;0;0;0;16;16;;;;;INGENIERIA CIVIL INFORMATICA;1;6.1;1;2.7;1.3;1;1.6;1.95;1.9;1.9;R
323;0;0;0;0;0;0;0;;;;;INGENIERIA EN COMPUTACION E INFORMATICA;4.2;1;2.9;2.7;1;1;1.6;1.91;2;1.9;R
51;1;0;0;0;1;23;24;:25;;;;INGENIERIA INDUSTRIAL;4.6;2.1;1;2.6;4.1;1;2.1;2.36;1;2;R
166;0;0;0;0;0;0;0;;;;;INGENIERIA EN COMPUTACION E INFORMATICA;4.3;1;1;2.1;6.9;1;1;2.43;1;2;R
81;0;0;0;0;0;24;24;;;;;INGENIERIA INDUSTRIAL;5;5.3;1;3.8;1;1;3;2.58;1;2.1;R
266;0;0;0;0;0;16;16;;;;;INGENIERIA EN COMPUTACION E INFORMATICA;2.8;1;1;1.6;7;1;1;2.2;1.7;2.1;R
381;20;4;0;0;14;17;31;:25:17:4:26:29:0:3:42:32:13:35;:6:44:37;;;INGENIERIA EN COMPUTACION E INFORMATICA;2;2.4;2.1;2.1;1;1;6.7;2.14;2.1;2.1;R
134;0;0;0;0;0;16;16;;;;;INGENIERIA EN COMPUTACION E INFORMATICA;4.6;1;3.8;3.1;6.5;1;1;2.88;1;2.3;R
140;12;0;0;0;8;16;24;:25:17:4:26:29:0:22:10;;;;INGENIERIA CIVIL INFORMATICA;4.2;5.6;1;3.6;1;1;7;2.9;1;2.3;R
155;10;0;0;0;7;17;24;:25:17:4:26:29:22:10;;;;INGENIERIA CIVIL INDUSTRIAL;3.8;4.1;2.4;3.4;1;1;4;2.51;1.8;2.3;R
41;3;0;0;0;3;13;16;:25:17:4;;;;INGENIERIA INDUSTRIAL;6.6;4.1;3.7;4.8;1;1;2.7;3.07;1;2.4;R
222;3;0;0;0;3;13;16;:25:17:4;;;;INGENIERIA EN COMPUTACION E INFORMATICA;6.8;5.5;2;4.8;1;1;1.9;2.97;1;2.4;R
225;0;0;0;0;0;16;16;;;;;INGENIERIA CIVIL INFORMATICA;4.4;2.5;1;2.6;1;6;1;3.06;1;2.4;R
386;11;0;0;0;7;17;24;:25:17:4:26:29:0:22;;;;INGENIERIA CIVIL INDUSTRIAL;1;2.4;1;1.5;1;7;4;3.03;1;2.4;R
157;2;0;0;0;8;16;24;:25:17;;;;INGENIERIA EN COMPUTACION E INFORMATICA;6.4;5.9;2.9;5.1;1;1;1.6;3.09;1;2.5;R
450;9;0;0;0;6;33;39;:25:17:26:29:0:10;;;;INGENIERIA EN COMPUTACION E INFORMATICA;6;6.4;3.1;5.2;1;1;3.7;3.35;1;2.6;R
414;12;7;0;0;13;18;31;:25:4:26:29:0:22:10:3;:6:1:44:37:28;;;INGENIERIA CIVIL INDUSTRIAL;6;2.1;5.7;4.6;1;1;6.7;3.37;1;2.7;R
177;10;0;0;0;7;9;16;:25:17:4:26:29:22:10;;;;INGENIERIA EN COMPUTACION E INFORMATICA;4.4;5.1;5;4.8;2;2.1;4;3.63;1;2.8;R
203;5;0;0;0;11;13;24;:25:17:4:26;;;;INGENIERIA CIVIL INDUSTRIAL;4.5;6;3.1;4.5;1;1;1.7;2.83;2.8;2.8;R
338;2;2;0;0;4;27;31;:25:17;:6:44;;;INGENIERIA CIVIL INFORMATICA;5.1;4.9;4.4;4.4;1;1;2.5;3;2.8;2.9;R
231;0;0;0;0;0;16;16;;;;;INGENIERIA EN COMPUTACION E INFORMATICA;4.8;5.6;3.5;4.6;5.5;1;1;3.48;3;3.3;R
261;4;0;0;0;3;13;16;:17:4:22;;;;INGENIERIA EN COMPUTACION E INFORMATICA;4.8;5.8;6.2;5.6;1;4.7;2.2;4.34;1;3.3;R
28;8;0;0;0;6;10;16;:25:17:4:26:29:23;;;;INGENIERIA EN COMPUTACION E INFORMATICA;6.3;6.3;1;2.8;4.5;1;4.2;3.39;3.4;3.4;R
302;21;6;0;0;14;17;31;:25:17:4:26:29:0:22:32:13:18:35;:9:2:33;;;INGENIERIA CIVIL INDUSTRIAL;5.6;4.1;2.9;4.2;1;1;7;3.2;4;3.4;R
321;0;0;0;0;0;0;0;;;;;INGENIERIA EN COMPUTACION E INFORMATICA;5.7;5.4;3.7;4.9;1;1;1;2.96;4.4;3.4;R
343;3;0;0;0;3;13;16;:25:17:4;;;;INGENIERIA EN COMPUTACION E INFORMATICA;4.4;4.4;3.6;4.1;1;1;1.9;2.65;5;3.4;R
96;19;0;0;0;13;3;16;:25:17:4:26:29:23:0:22:10:3:7:32:18;;;;INGENIERIA INDUSTRIAL;5.4;5.4;4;4.9;1;1;7;3.56;3.2;3.5;R
99;13;3;0;0;12;19;31;:25:17:4:26:29:10:3:18:35;:6:1:44;;;INGENIERIA CIVIL INFORMATICA;6.1;4.5;5.1;5.2;1;1;5.8;3.59;3.4;3.5;R
232;13;0;0;0;15;24;39;:25:17:4:26:29:23:0:22:10;;;;INGENIERIA EN COMPUTACION E INFORMATICA;4.4;6.5;3;4.6;3.5;5.1;4.9;4.6;1.4;3.6;R
206;0;0;0;0;0;16;16;;;;;INGENIERIA CIVIL INDUSTRIAL;6.4;5.9;6.7;6.3;1;1;1;3.66;3.8;3.7;R
423;14;1;0;0;9;22;31;:17:4:26:29:23:3:32:13;:44;;;INGENIERIA CIVIL INFORMATICA;4;3.8;3.2;3.7;1;6;5.5;4.03;2.8;3.7;R
85;20;6;0;0;18;13;31;:25:17:4:26:29:23:0:22:10:3:42:32:18;:6:1:44:28:38;;;INGENIERIA CIVIL INFORMATICA;5.8;6.4;5;5.7;1;1;7;3.96;3.4;3.8;R
263;21;6;0;0;17;14;31;:25:4:26:29:23:0:22:10:3:42:32:18:35;:6:44:37:28;;;INGENIERIA EN COMPUTACION E INFORMATICA;4.9;5.3;3;4.4;5.5;1;6.7;3.94;3.6;3.8;R
105;20;2;0;0;15;24;39;:25:17:4:26:29:23:0:22:10:3:42:18:35;:6:44;;;INGENIERIA EN COMPUTACION E INFORMATICA;4.6;5.9;3.5;4.7;1;1;7;3.43;5.3;4;A
173;0;0;0;0;0;31;31;;;;;INGENIERIA INDUSTRIAL;3.6;4;4.6;4.6;5.8;4.9;1;4.29;3.4;4;A
200;19;2;0;0;14;17;31;:25:17:4:26:29:23:0:22:10:42:32:18;:1:44;;;INGENIERIA CIVIL INDUSTRIAL;3;6.2;5.9;5;1;1;7;3.61;4.8;4;A
251;20;2;0;0;15;16;31;:25:17:4:26:29:23:0:22:10:3:42:32:35;:1:44;;;INGENIERIA CIVIL INDUSTRIAL;5.5;4.7;6.2;5.5;1;2.2;7;4.13;3.6;4;A
